hora,Suma de cantidad_facturas,Dia_semana
08:00,2,1
08:30,1,1
08:30,1,2
08:30,3,4
08:30,1,5
08:30,2,6
09:00,6,1
09:00,6,2
09:00,3,3
09:00,7,4
09:00,4,5
09:00,4,6
09:30,9,1
09:30,4,2
09:30,4,3
09:30,6,4
09:30,9,5
09:30,4,6
10:00,10,1
10:00,9,2
10:00,9,3
10:00,12,4
10:00,3,5
10:00,13,6
10:30,8,1
10:30,22,2
10:30,13,3
10:30,8,4
10:30,9,5
10:30,9,6
10:30,4,7
11:00,9,1
11:00,18,2
11:00,15,3
11:00,15,4
11:00,13,5
11:00,14,6
11:00,3,7
11:30,15,1
11:30,12,2
11:30,16,3
11:30,20,4
11:30,14,5
11:30,13,6
11:30,2,7
12:00,17,1
12:00,11,2
12:00,16,3
12:00,14,4
12:00,20,5
12:00,19,6
12:00,4,7
12:30,15,1
12:30,15,2
12:30,16,3
12:30,19,4
12:30,10,5
12:30,18,6
12:30,8,7
13:00,10,1
13:00,13,2
13:00,20,3
13:00,10,4
13:00,22,5
13:00,19,6
13:00,5,7
13:30,15,1
13:30,20,2
13:30,11,3
13:30,15,4
13:30,15,5
13:30,20,6
13:30,4,7
14:00,15,1
14:00,13,2
14:00,12,3
14:00,18,4
14:00,16,5
14:00,26,6
14:00,1,7
14:30,9,1
14:30,13,2
14:30,12,3
14:30,6,4
14:30,9,5
14:30,13,6
14:30,7,7
15:00,10,1
15:00,7,2
15:00,15,3
15:00,13,4
15:00,8,5
15:00,19,6
15:00,5,7
15:30,9,1
15:30,15,2
15:30,13,3
15:30,14,4
15:30,24,5
15:30,16,6
15:30,4,7
16:00,18,1
16:00,9,2
16:00,20,3
16:00,14,4
16:00,23,5
16:00,10,6
16:00,5,7
16:30,19,1
16:30,16,2
16:30,20,3
16:30,16,4
16:30,19,5
16:30,14,6
16:30,6,7
17:00,17,1
17:00,18,2
17:00,15,3
17:00,18,4
17:00,17,5
17:00,21,6
17:00,1,7
17:30,15,1
17:30,16,2
17:30,18,3
17:30,16,4
17:30,21,5
17:30,17,6
17:30,3,7
18:00,13,1
18:00,11,2
18:00,14,3
18:00,14,4
18:00,25,5
18:00,19,6
18:00,2,7
18:30,8,1
18:30,9,2
18:30,13,3
18:30,12,4
18:30,12,5
18:30,15,6
19:00,4,1
19:00,6,2
19:00,10,3
19:00,14,4
19:00,10,5
19:00,14,6
19:30,12,1
19:30,3,2
19:30,8,3
19:30,5,4
19:30,11,5
19:30,10,6
20:00,2,1
20:00,2,2
20:00,2,3
20:00,2,4
20:00,4,5
20:00,4,6
20:30,2,5
21:00,2,5
