hora,Suma de cantidad_facturas,Dia_semana
09:30,1,1
09:30,1,7
10:00,3,1
10:00,1,2
10:00,4,3
10:00,7,4
10:00,3,5
10:00,4,6
10:00,4,7
10:30,2,1
10:30,7,2
10:30,7,3
10:30,12,4
10:30,8,5
10:30,9,6
10:30,8,7
11:00,14,1
11:00,16,2
11:00,10,3
11:00,5,4
11:00,17,5
11:00,16,6
11:00,12,7
11:30,6,1
11:30,10,2
11:30,7,3
11:30,12,4
11:30,19,5
11:30,16,6
11:30,14,7
12:00,15,1
12:00,14,2
12:00,16,3
12:00,19,4
12:00,17,5
12:00,17,6
12:00,22,7
12:30,13,1
12:30,15,2
12:30,17,3
12:30,15,4
12:30,18,5
12:30,20,6
12:30,20,7
13:00,16,1
13:00,17,2
13:00,8,3
13:00,15,4
13:00,11,5
13:00,31,6
13:00,20,7
13:30,14,1
13:30,11,2
13:30,14,3
13:30,13,4
13:30,15,5
13:30,21,6
13:30,28,7
14:00,15,1
14:00,18,2
14:00,16,3
14:00,15,4
14:00,22,5
14:00,22,6
14:00,22,7
14:30,18,1
14:30,14,2
14:30,15,3
14:30,19,4
14:30,21,5
14:30,29,6
14:30,31,7
15:00,24,1
15:00,28,2
15:00,14,3
15:00,18,4
15:00,18,5
15:00,28,6
15:00,24,7
15:30,11,1
15:30,17,2
15:30,12,3
15:30,17,4
15:30,11,5
15:30,32,6
15:30,39,7
16:00,14,1
16:00,27,2
16:00,21,3
16:00,20,4
16:00,21,5
16:00,24,6
16:00,39,7
16:30,15,1
16:30,11,2
16:30,22,3
16:30,23,4
16:30,14,5
16:30,40,6
16:30,36,7
17:00,20,1
17:00,14,2
17:00,21,3
17:00,27,4
17:00,26,5
17:00,28,6
17:00,32,7
17:30,26,1
17:30,18,2
17:30,29,3
17:30,28,4
17:30,25,5
17:30,44,6
17:30,27,7
18:00,25,1
18:00,29,2
18:00,21,3
18:00,35,4
18:00,31,5
18:00,38,6
18:00,29,7
18:30,33,1
18:30,27,2
18:30,29,3
18:30,34,4
18:30,31,5
18:30,37,6
18:30,39,7
19:00,26,1
19:00,30,2
19:00,24,3
19:00,20,4
19:00,25,5
19:00,39,6
19:00,18,7
19:30,19,1
19:30,24,2
19:30,26,3
19:30,36,4
19:30,29,5
19:30,32,6
19:30,27,7
20:00,21,1
20:00,19,2
20:00,36,3
20:00,23,4
20:00,22,5
20:00,35,6
20:00,25,7
20:30,18,1
20:30,18,2
20:30,13,3
20:30,13,4
20:30,27,5
20:30,25,6
20:30,4,7
21:00,7,1
21:00,7,2
21:00,6,3
21:00,9,4
21:00,6,5
21:00,12,6
21:00,1,7
21:30,1,1
21:30,1,2
21:30,1,3
21:30,2,4
21:30,4,5
21:30,9,6
22:00,1,3
22:00,1,6
22:30,1,6
